선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
김도영,KIA,141,625,544,189,38,143,109,66,110,40,0.375,0.347,0.42,0.647,1.067,0.442,9.33
로하스,KT,144,670,572,188,32,108,112,88,115,2,0.364,0.329,0.421,0.568,0.989,0.421,7.14
구자욱,삼성,129,568,493,169,33,92,115,55,73,13,0.346,0.343,0.417,0.627,1.044,0.438,6.85
송성문,Hero,142,602,527,179,19,88,104,64,82,20,0.369,0.34,0.409,0.518,0.927,0.402,6.16
최정,SSG,129,550,468,136,37,93,107,55,114,5,0.306,0.291,0.384,0.594,0.978,0.41,6.02
에레디아,SSG,136,591,541,195,21,82,118,28,73,4,0.382,0.36,0.399,0.538,0.937,0.402,4.89
홍창기,LG,139,637,524,176,5,96,73,96,93,10,0.398,0.336,0.447,0.41,0.857,0.398,4.88
데이비슨,NC,131,567,504,154,46,90,119,39,142,0,0.334,0.306,0.37,0.633,1.003,0.411,4.87
레이예스,롯데,144,632,574,202,15,88,111,46,82,5,0.383,0.352,0.394,0.51,0.904,0.391,4.67
오스틴,LG,140,604,527,168,32,99,132,61,82,12,0.32,0.319,0.385,0.573,0.958,0.4,4.26
박민우,NC,121,528,457,150,8,75,50,54,79,32,0.38,0.328,0.406,0.446,0.852,0.381,4.07
문보경,LG,144,602,519,156,22,80,101,65,112,7,0.337,0.301,0.372,0.507,0.879,0.376,4.01
권희동,NC,123,511,416,125,13,66,77,77,63,4,0.324,0.3,0.417,0.452,0.869,0.392,3.94
김혜성,Hero,127,567,509,166,11,90,75,47,62,30,0.35,0.326,0.383,0.458,0.841,0.37,3.89
강민호,삼성,136,452,403,122,19,48,77,35,52,3,0.305,0.303,0.365,0.496,0.861,0.37,3.71
김지찬,삼성,135,535,453,143,3,102,36,60,40,42,0.341,0.316,0.405,0.384,0.789,0.366,3.7
도슨,Hero,95,429,382,126,11,69,57,39,54,2,0.361,0.33,0.399,0.508,0.907,0.397,3.48
박성한,SSG,137,564,489,147,10,78,67,64,86,13,0.343,0.301,0.38,0.411,0.791,0.355,3.48
소크라테스*,KIA,140,602,552,171,26,92,97,41,91,13,0.33,0.31,0.359,0.516,0.875,0.371,3.47
박건우,NC,89,362,323,111,13,58,53,33,54,4,0.38,0.344,0.409,0.542,0.951,0.409,3.34
나승엽,롯데,121,489,407,127,7,59,66,69,83,1,0.37,0.312,0.411,0.469,0.88,0.392,3.33
윤동희,롯데,141,613,532,156,14,97,85,67,114,7,0.347,0.293,0.376,0.453,0.829,0.368,3.33
양의지,두산,119,485,430,135,17,57,94,40,56,2,0.325,0.314,0.379,0.474,0.853,0.371,3.32
김선빈,KIA,116,466,423,139,9,48,57,30,39,5,0.347,0.329,0.38,0.447,0.827,0.368,3.12
손호영,롯데,100,428,396,126,18,70,77,17,65,7,0.34,0.318,0.356,0.54,0.896,0.378,3.12
장성우,KT,131,489,418,112,19,53,81,60,86,5,0.29,0.268,0.355,0.45,0.805,0.352,3.09
허경민,두산,115,477,417,129,7,69,61,36,25,5,0.312,0.309,0.384,0.427,0.811,0.366,3.08
박동원,LG,130,498,434,118,20,58,80,55,112,1,0.317,0.272,0.349,0.461,0.81,0.35,3.03
고승민,롯데,120,532,481,148,14,79,87,41,78,5,0.338,0.308,0.358,0.476,0.834,0.361,2.83
노시환,한화,136,601,526,143,24,88,89,60,129,6,0.316,0.272,0.356,0.454,0.81,0.35,2.83
김재환*,두산,136,552,474,134,29,78,92,63,168,1,0.367,0.283,0.368,0.525,0.893,0.379,2.78
김주원,NC,134,475,385,97,9,61,49,51,111,16,0.326,0.252,0.371,0.379,0.75,0.348,2.52
이재현,삼성,109,458,389,101,14,71,66,58,83,2,0.295,0.26,0.365,0.414,0.779,0.351,2.49
정수빈,두산,136,608,510,145,4,95,47,70,72,52,0.319,0.284,0.376,0.361,0.737,0.342,2.46
김민혁,KT,115,393,351,124,1,47,34,35,45,4,0.399,0.353,0.41,0.419,0.829,0.376,2.39
신민재,LG,128,474,387,115,0,78,40,64,46,32,0.334,0.297,0.401,0.351,0.752,0.355,2.39
제러드,두산,38,169,144,47,10,29,39,21,35,4,0.37,0.326,0.42,0.66,1.08,0.451,2.36
황성빈,롯데,125,406,366,117,4,94,26,31,56,51,0.368,0.32,0.375,0.432,0.807,0.36,2.33
강백호,KT,144,614,550,159,26,92,96,59,127,6,0.333,0.289,0.36,0.48,0.84,0.363,2.28
최원준,KIA,136,508,438,128,9,75,56,50,66,21,0.323,0.292,0.371,0.42,0.791,0.356,2.25
전준우,롯데,109,483,423,124,17,57,82,49,84,3,0.327,0.293,0.369,0.485,0.854,0.372,2.21
페라자,한화,122,522,455,125,24,75,70,63,129,7,0.332,0.275,0.364,0.486,0.85,0.366,2.18
최지훈,SSG,125,543,483,133,11,89,49,50,71,32,0.303,0.275,0.345,0.418,0.763,0.339,2.11
박찬호,KIA,134,577,515,158,5,86,61,48,44,20,0.324,0.307,0.363,0.386,0.749,0.338,2.09
김영웅,삼성,126,509,456,115,28,65,79,45,155,9,0.314,0.252,0.321,0.485,0.806,0.343,2.09
오지환,LG,108,428,370,94,10,67,59,51,106,17,0.329,0.254,0.35,0.411,0.761,0.342,2.03
강승호,두산,140,566,521,146,18,81,81,32,158,16,0.367,0.28,0.328,0.476,0.804,0.342,2.0
나성범,KIA,102,424,374,109,21,51,80,38,98,0,0.336,0.291,0.357,0.511,0.868,0.369,1.99
한준수,KIA,115,316,287,88,7,39,41,21,48,0,0.34,0.307,0.351,0.456,0.807,0.35,1.94
최재훈,한화,116,348,280,72,4,34,37,33,58,0,0.304,0.257,0.371,0.336,0.707,0.337,1.84
최형우,KIA,116,487,425,119,22,67,109,52,86,1,0.301,0.28,0.361,0.499,0.86,0.368,1.76
문성주,LG,96,361,305,96,0,47,48,49,38,13,0.356,0.315,0.411,0.38,0.791,0.37,1.65
안치홍,한화,128,533,473,142,13,64,66,49,70,3,0.327,0.3,0.37,0.427,0.797,0.356,1.64
서건창,KIA,94,248,203,63,1,40,26,36,31,3,0.356,0.31,0.416,0.404,0.82,0.38,1.59
김휘집,NC,89,366,314,86,11,54,49,37,70,4,0.314,0.274,0.357,0.427,0.784,0.349,1.58
김태연,한화,126,472,413,120,12,59,61,45,89,5,0.342,0.291,0.363,0.436,0.799,0.354,1.54
이용규,Hero,60,227,183,56,1,27,12,31,33,2,0.367,0.306,0.429,0.372,0.801,0.381,1.53
이성규,삼성,122,355,302,73,22,56,57,31,109,9,0.293,0.242,0.339,0.5,0.839,0.36,1.53
라모스,두산,80,348,311,95,10,43,48,27,60,3,0.344,0.305,0.36,0.482,0.842,0.363,1.46
김상수,KT,113,420,369,102,4,60,45,37,59,3,0.319,0.276,0.351,0.379,0.73,0.333,1.43
오윤석,KT,73,201,174,51,6,33,27,18,41,0,0.349,0.293,0.369,0.489,0.858,0.374,1.4
이주형,Hero,115,537,473,126,13,82,60,49,119,6,0.33,0.266,0.352,0.402,0.754,0.34,1.38
배정대,KT,113,473,404,111,7,49,59,50,114,9,0.359,0.275,0.355,0.394,0.749,0.337,1.36
채은성,한화,124,498,436,118,20,61,83,49,83,1,0.29,0.271,0.351,0.463,0.814,0.355,1.36
서호철,NC,141,567,512,146,10,68,61,30,101,1,0.337,0.285,0.342,0.393,0.735,0.331,1.27
김현수,LG,137,583,517,152,8,61,69,47,76,6,0.326,0.294,0.357,0.418,0.775,0.345,1.24
박승욱,롯데,139,468,405,106,7,57,53,47,120,4,0.352,0.262,0.351,0.365,0.716,0.327,1.22
정준재,SSG,88,240,215,66,1,40,24,19,49,16,0.394,0.307,0.371,0.405,0.776,0.352,1.14
황영묵,한화,123,389,349,105,3,52,35,31,55,4,0.349,0.301,0.365,0.372,0.737,0.338,1.14
김태군,KIA,105,270,235,62,7,24,34,12,24,0,0.268,0.264,0.328,0.383,0.711,0.321,0.99
김헌곤,삼성,117,311,281,85,9,43,34,22,50,4,0.341,0.302,0.358,0.434,0.792,0.351,0.95
김재호,두산,57,154,126,38,1,20,11,19,23,0,0.359,0.302,0.395,0.365,0.76,0.355,0.95
오태곤,SSG,117,288,247,68,9,43,36,31,73,27,0.351,0.275,0.355,0.449,0.804,0.35,0.93
변우혁,KIA,69,187,168,51,5,22,21,16,48,1,0.397,0.304,0.369,0.47,0.839,0.368,0.88
이우성,KIA,112,449,399,115,9,56,54,44,89,7,0.349,0.288,0.361,0.401,0.762,0.343,0.84
문상철,KT,125,403,347,89,17,50,58,45,86,6,0.291,0.256,0.351,0.435,0.786,0.346,0.83
윤정빈,삼성,69,188,161,46,7,26,20,22,47,1,0.358,0.286,0.378,0.453,0.831,0.368,0.8
김기연,두산,95,283,252,70,5,31,31,22,47,0,0.32,0.278,0.337,0.377,0.714,0.321,0.8
신본기,KT,84,152,122,34,3,18,19,16,28,2,0.333,0.279,0.371,0.377,0.748,0.344,0.75
이창진,KIA,102,247,191,50,1,36,18,45,36,4,0.31,0.262,0.401,0.33,0.731,0.352,0.73
이지영,SSG,123,432,398,111,5,45,50,18,35,8,0.294,0.279,0.32,0.349,0.669,0.303,0.72
장진혁,한화,99,327,289,76,9,56,44,29,72,14,0.321,0.263,0.335,0.412,0.747,0.332,0.72
최인호,한화,82,244,210,60,2,37,22,25,31,3,0.324,0.286,0.367,0.386,0.753,0.344,0.69
맥키넌,삼성,72,315,272,80,4,28,36,39,33,1,0.319,0.294,0.381,0.386,0.767,0.348,0.66
양석환,두산,142,593,533,131,34,84,107,49,128,5,0.259,0.246,0.316,0.488,0.804,0.341,0.66
추신수,SSG,78,302,253,71,5,40,37,37,68,5,0.355,0.281,0.373,0.403,0.776,0.352,0.65
박해민,LG,144,553,482,127,6,72,56,46,101,43,0.315,0.263,0.336,0.359,0.695,0.317,0.63
천성호,KT,75,255,234,69,1,41,17,18,43,7,0.356,0.295,0.346,0.368,0.714,0.324,0.57
강현우,KT,18,36,26,8,1,4,8,8,10,0,0.467,0.308,0.471,0.462,0.933,0.429,0.53
