선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
하트,NC,13,3,0,0,0,26,26,157.0,10.43,2.18,0.63,0.293,77.4,2.69,3.32,2.88,6.54,7.55
윌커슨,롯데,12,8,0,0,0,32,32,196.2,7.64,1.24,0.82,0.321,69.7,3.84,3.72,3.5,6.3,6.39
후라도,Hero,10,8,0,0,0,30,30,190.1,7.99,1.51,0.9,0.306,74.2,3.36,3.95,3.76,5.79,7.24
류현진,한화,10,8,0,0,0,28,28,158.1,7.67,1.88,0.68,0.346,69.6,3.87,3.75,3.58,5.22,5.19
엔스,LG,13,6,0,0,0,30,30,167.2,8.43,2.68,0.86,0.321,69.6,4.19,4.16,3.97,4.84,5.02
반즈,롯데,9,6,0,0,0,25,25,150.2,10.21,2.75,1.08,0.322,79.6,3.35,4.09,3.67,4.79,6.0
헤이수스,Hero,13,11,0,0,0,30,30,171.1,9.35,2.31,1.16,0.319,76.2,3.68,4.38,4.1,4.65,6.06
네일,KIA,12,5,0,0,0,26,26,149.1,8.26,2.11,0.66,0.32,70.6,2.53,3.79,3.62,4.59,5.25
쿠에바스,KT,7,12,0,0,0,31,31,173.1,8.0,3.06,0.88,0.285,68.9,4.1,4.36,4.24,4.36,5.39
임찬규,LG,10,6,0,1,0,25,24,134.0,9.13,2.82,0.81,0.348,76.3,3.83,3.95,3.68,4.23,4.8
앤더슨,SSG,11,3,0,0,0,24,23,115.2,12.29,4.12,0.86,0.33,72.4,3.89,3.87,3.33,4.15,4.04
곽빈,두산,15,9,0,0,0,30,30,167.2,8.27,4.08,0.59,0.283,67.6,4.24,4.27,4.19,4.02,5.46
코너,삼성,11,6,0,0,0,28,28,160.0,8.89,2.25,1.18,0.27,77.2,3.43,4.62,4.45,3.73,6.22
박세웅,롯데,6,11,0,0,0,30,30,173.1,6.44,2.91,0.68,0.317,64.2,4.78,4.49,4.59,3.31,4.13
레예스,삼성,11,4,0,0,0,26,26,144.0,7.12,1.88,0.94,0.323,74.9,3.81,4.33,4.26,3.3,4.98
브랜든,두산,7,4,0,0,0,14,14,75.0,9.0,1.32,0.36,0.33,65.3,3.12,2.91,2.58,3.26,2.44
양현종,KIA,11,5,0,0,0,29,29,171.1,6.78,2.15,1.1,0.29,70.5,4.1,4.7,4.68,3.22,4.93
원태인,삼성,15,6,0,0,0,28,28,159.2,6.71,2.37,0.96,0.278,74.8,3.66,4.58,4.59,3.18,5.75
엘리아스,SSG,7,7,0,0,0,22,21,123.2,7.57,2.11,0.95,0.313,71.6,4.08,4.34,4.25,3.1,3.83
엄상백,KT,13,10,0,0,0,29,29,156.2,9.13,2.41,1.49,0.317,70.8,4.88,4.85,4.57,3.07,3.74
와이스,한화,5,5,0,0,0,16,16,91.2,9.62,2.85,0.79,0.284,67.5,3.73,3.83,3.5,2.95,3.27
벤자민,KT,11,8,0,0,0,28,28,149.2,9.38,2.89,1.68,0.285,67.0,4.63,5.14,4.82,2.85,3.55
고영표,KT,6,8,0,0,0,18,17,100.0,7.11,1.26,0.54,0.394,66.6,4.95,3.74,3.7,2.83,2.18
하영민,Hero,9,8,0,0,0,28,28,150.1,6.05,3.47,0.48,0.322,67.8,4.37,4.39,4.55,2.81,3.55
손주영,LG,9,10,0,1,0,28,27,144.2,6.97,3.36,0.68,0.329,73.0,3.79,4.55,4.63,2.76,4.52
바리아,한화,6,7,0,0,0,20,19,92.2,8.06,1.75,0.97,0.357,62.7,5.15,3.98,3.73,2.51,1.8
김광현,SSG,12,10,0,0,0,31,31,162.1,8.59,4.05,1.33,0.309,70.4,4.93,5.24,5.12,2.43,3.77
카스타노,NC,8,6,0,0,0,19,19,111.2,7.17,2.01,0.89,0.312,62.9,4.35,4.33,4.29,2.4,2.47
최원태,LG,9,7,0,0,0,24,23,126.2,7.39,4.05,0.71,0.31,70.1,4.26,4.64,4.67,2.25,3.29
문동주,한화,7,7,0,0,0,21,21,111.1,7.76,3.07,1.13,0.388,69.8,5.17,4.8,4.72,2.25,2.22
유영찬,LG,7,5,26,1,6,62,0,63.2,10.88,4.24,0.28,0.345,76.8,2.97,3.19,2.78,2.21,3.34
박영현,KT,10,2,25,0,6,66,0,76.2,10.21,2.58,1.41,0.271,79.2,3.52,4.33,3.86,1.85,3.95
