stdYymm,nationCode,mprcExipitmCode,imxprtSeCode,nationNm,ecoblNm,mprcExipitmNm,imxprtSeNm,imxprtWt,imxprtDollarAmount
202401,AE,0106199000,E,아랍에미리트연합,걸프협력회의,기타 포유동물,수출,17.5,455
202401,AE,0301998000,E,아랍에미리트연합,걸프협력회의,넙치(활어),수출,798.2,19735
202401,AE,0302240000,E,아랍에미리트연합,걸프협력회의,터벗(신선 또는 냉장)(프세타 맥시마),수출,304,11425
202401,AE,0303510000,E,아랍에미리트연합,걸프협력회의,"청어(클루페아 하렌구스,클루페아 팔라시)",수출,20,638
202401,AE,0303540000,E,아랍에미리트연합,걸프협력회의,"고등어(스콤버 스콤브루스,스콤버 오스트랄라시쿠스,스콤버 자포니쿠스)",수출,170,1472
202401,AE,0303591000,E,아랍에미리트연합,걸프협력회의,삼치[스콤버로모러스(Scomberomorus)종],수출,22.2,327
202401,AE,0303670000,E,아랍에미리트연합,걸프협력회의,명태(냉동)(테라그라 찰코그라마),수출,282,1414
202401,AE,0303898000,E,아랍에미리트연합,걸프협력회의,복어(냉동),수출,45,237
202401,AE,0303899040,E,아랍에미리트연합,걸프협력회의,임연수어(냉동),수출,40,607
202401,AE,0304831000,E,아랍에미리트연합,걸프협력회의,가자미(냉동한 피레트),수출,30,385
202401,AE,0305204010,E,아랍에미리트연합,걸프협력회의,"어란(명태/염장,염수장)",수출,20,3422
202401,AE,0305541000,E,아랍에미리트연합,걸프협력회의,멸치[엔그라울리스(Engraulis)종],수출,321.6,4990
202401,AE,0305594000,E,아랍에미리트연합,걸프협력회의,조기(건조/염장불문/훈제제외),수출,9.6,197
202401,AE,0307119000,E,아랍에미리트연합,걸프협력회의,굴치패 기타(산 것 신선 또는 냉장한 것),수출,96,841
202401,AE,0307120000,E,아랍에미리트연합,걸프협력회의,냉동한 것,수출,904,10739
202401,AE,0307432090,E,아랍에미리트연합,걸프협력회의,기타,수출,600,5629
202401,AE,0307521000,E,아랍에미리트연합,걸프협력회의,문어,수출,50,785
202401,AE,0307522000,E,아랍에미리트연합,걸프협력회의,낙지,수출,165,1853
202401,AE,0307723000,E,아랍에미리트연합,걸프협력회의,바지락,수출,100,911
202401,AE,0307810000,E,아랍에미리트연합,걸프협력회의,전복(산 것 신선 또는 냉장한 것),수출,8,189
202401,AE,0307830000,E,아랍에미리트연합,걸프협력회의,냉동한 전복[할리오티스(Haliotis)종],수출,24,599
202401,AE,0308304000,E,아랍에미리트연합,걸프협력회의,해파리(염장 또는 염수장한 것),수출,50,243
202401,AE,1212212010,E,아랍에미리트연합,걸프협력회의,미역(건조한 것)(식용의 것),수출,67.5,1176
202401,AE,1212213030,E,아랍에미리트연합,걸프협력회의,톳(냉동한 것)(식용의 것),수출,10,80
202401,AE,1604141011,E,아랍에미리트연합,걸프협력회의,다랭이(기름담금),수출,113.4,1192
